id;title;salary_min;salary_max;description;requirements;conditions;responsibilities;status;created_at;updated_at
7422;Frontend-разработчик (React);75000;140000;Компания ищет frontend-разработчика для работы над веб-приложениями на React. Вы будете участвовать в разработке UI/UX, интеграции с бэкендом и оптимизации производительности.;- Опыт работы с React, Redux, TypeScript.<br>- Знание HTML5, CSS3, SCSS.<br>- Опыт работы с REST API, Git, Webpack.<br>- Умение писать чистый и поддерживаемый код.;"- Удалённая работа.<br>- Гибкий график.<br>- Доступ к ИИ-инструментам для генерации кода и анализа производительности;";  - Разработка компонентов и страниц на React.<br>- Взаимодействие с дизайнерами и бэкенд-разработчиками.<br>- Участие в код-ревью и тестировании.;Активная;2026-03-23 09:00:00.000;2026-03-23 09:00:00.000
7423;Frontend-разработчик (Vue.js);70000;130000;Ищем frontend-разработчика для работы с Vue 3 и Composition API. Проекты связаны с внутренними CRM-системами и аналитическими панелями.;- Опыт работы с Vue 2/3, Pinia, Vite.<br>- Знание JavaScript/TypeScript, HTML, CSS.<br>- Опыт работы с Git, npm/yarn.<br>- Умение работать в команде и соблюдать стандарты кода.;"- Официальное трудоустройство.<br>- Обучение и курсы.<br>- ИИ-ассистенты для анализа кода и генерации шаблонов;";  - Разработка и поддержка Vue-компонентов.<br>- Интеграция с бэкенд-сервисами.<br>- оптимизация производительности и доступности.;Активная;2026-03-23 10:15:00.000;2026-03-23 10:15:00.000
7424;Lead Frontend Developer (React);100000;180000;Ищем лид фронтенда для руководства командой из 4-5 разработчиков. Вы будете отвечать за архитектуру, код-ревью, менторство и взаимодействие с product owner.;- Опыт работы с React, TypeScript, Redux Toolkit.<br>- Опыт управления командой от 1 года.<br>- Знание CI/CD, тестирования (Jest, React Testing Library).<br>- Умение принимать архитектурные решения.;"- Удалёнка.<br>- Бонусы за KPI команды.<br>- Доступ к ИИ-инструментам для анализа кода и автоматизации ревью;";  - Архитектура фронтенд-решений.<br>- Проведение код-ревью и менторство junior-разработчиков.<br>- Координация с бэкендом и дизайнерами.;Активная;2026-03-23 11:30:00.000;2026-03-23 11:30:00.000
7425;Frontend-разработчик (Angular);72000;135000;Компания ищет frontend-разработчика для работы с Angular 16+. Проекты связаны с корпоративными системами и внутренними инструментами.;- Опыт работы с Angular, RxJS, TypeScript.<br>- Знание HTML, CSS, SCSS.<br>- Опыт работы с REST API, Git, Nx.<br>- Умение работать в Agile-команде.;"- Гибридный график.<br>- Корпоративные курсы.<br>- ИИ-инструменты для анализа производительности и генерации компонентов;";  - Разработка Angular-компонентов и сервисов.<br>- Интеграция с бэкендом и тестирование.<br>- Участие в спринтах и ретроспективах.;Активная;2026-03-23 12:45:00.000;2026-03-23 12:45:00.000
7426;Frontend-разработчик (Svelte);68000;125000;Ищем frontend-разработчика для работы с Svelte и SvelteKit. Проекты — стартапы в сфере EdTech и FinTech.;- Опыт работы с Svelte, SvelteKit, TypeScript.<br>- Знание HTML, CSS, JavaScript.<br>- Опыт работы с Git, npm, Vite.<br>- Умение быстро вникать в новые технологии.;"- Удалённая работа.<br>- Опционы в компании.<br>- ИИ-ассистенты для генерации кода и анализа UX;";  - Разработка Svelte-компонентов.<br>- Интеграция с API и оптимизация производительности.<br>- Участие в тестировании и релизах.;Активная;2026-03-23 14:00:00.000;2026-03-23 14:00:00.000
7427;Lead Frontend Developer (Vue.js);95000;170000;Ищем лид фронтенда для руководства командой Vue-разработчиков. Вы будете отвечать за архитектуру, менторство и взаимодействие с дизайнерами и product owner.;- Опыт работы с Vue 3, Pinia, Vite, TypeScript.<br>- Опыт управления командой от 1 года.<br>- Знание тестирования (Vitest, Vue Test Utils).<br>- Умение принимать архитектурные решения.;"- Удалёнка.<br>- Премии за KPI команды.<br>- Доступ к ИИ-инструментам для анализа кода и автоматизации ревью;";  - Архитектура Vue-решений.<br>- Проведение код-ревью и менторство junior-разработчиков.<br>- Координация с бэкендом и дизайнерами.;Активная;2026-03-23 15:15:00.000;2026-03-23 15:15:00.000
7428;Frontend-разработчик (Next.js);80000;150000;Компания ищет frontend-разработчика для работы с Next.js 14. Проекты — высоконагруженные веб-платформы в e-commerce и маркетинге.;- Опыт работы с Next.js, React, TypeScript.<br>- Знание SSR, SSG, API Routes.<br>- Опыт работы с Tailwind CSS, Git, Vercel.<br>- Умение оптимизировать производительность.;"- Гибридный график.<br>- Бонусы за KPI.<br>- ИИ-инструменты для анализа производительности и генерации кода;";  - Разработка страниц и компонентов на Next.js.<br>- оптимизация SEO и производительности.<br>- Участие в деплоях и мониторинге.;Активная;2026-03-23 16:30:00.000;2026-03-23 16:30:00.000
7429;Frontend-разработчик (React Native);75000;140000;Ищем frontend-разработчика для работы с React Native. Проекты — мобильные приложения для iOS и Android в сфере FinTech и HealthTech.;- Опыт работы с React Native, Expo, TypeScript.<br>- Знание iOS/Android-платформ, Native Modules.<br>- Опыт работы с REST API, Git, Jest.<br>- Умение работать с дизайнерами и QA.;"- Удалённая работа.<br>- Компенсация за обучение.<br>- ИИ-ассистенты для генерации кода и анализа UX;";  - Разработка мобильных компонентов.<br>- Интеграция с нативными модулями.<br>- Участие в тестировании и релизах.;Активная;2026-03-23 17:45:00.000;2026-03-23 17:45:00.000
7430;Frontend-разработчик (TypeScript + Webpack);73000;135000;Компания ищет frontend-разработчика для работы с TypeScript и Webpack. Проекты — корпоративные системы и веб-приложения с высокой нагрузкой.;- Опыт работы с TypeScript, Webpack, Babel.<br>- Знание HTML, CSS, JavaScript.<br>- Опыт работы с Git, npm, CI/CD.<br>- Умение настраивать сборки и оптимизировать производительность.;"- Официальное трудоустройство.<br>- Обучение и курсы.<br>- ИИ-инструменты для анализа кода и автоматизации сборок;";  - Настройка и оптимизация Webpack.<br>- Разработка и поддержка фронтенд-модулей.<br>- Участие в тестировании и деплоях.;Активная;2026-03-23 19:00:00.000;2026-03-23 19:00:00.000
7431;Lead Frontend Developer (Next.js);105000;190000;Ищем лид фронтенда для руководства командой Next.js-разработчиков. Вы будете отвечать за архитектуру, менторство и взаимодействие с product owner и бэкенд-командой.;- Опыт работы с Next.js 14, React, TypeScript, SSR/SSG.<br>- Опыт управления командой от 1 года.<br>- Знание CI/CD, тестирования (Jest, React Testing Library).<br>- Умение принимать архитектурные решения.;"- Удалёнка.<br>- Премии за KPI команды.<br>- Доступ к ИИ-инструментам для анализа кода и автоматизации ревью;";  - Архитектура Next.js-решений.<br>- Проведение код-ревью и менторство junior-разработчиков.<br>- Координация с бэкендом и дизайнерами.;Активная;2026-03-23 20:15:00.000;2026-03-23 20:15:00.000
7432;Backend-разработчик (Python/Django);75000;140000;Компания ищет backend-разработчика для работы с Django и PostgreSQL. Проекты — веб-приложения в сфере e-commerce и SaaS.;- Опыт работы с Python, Django, PostgreSQL.<br>- Знание REST API, Git, Docker.<br>- Опыт работы с Celery, Redis.<br>- Умение писать чистый и тестируемый код.;"- Удалённая работа.<br>- Гибкий график.<br>- Доступ к ИИ-инструментам для анализа кода и генерации тестов;";  - Разработка и поддержка API.<br>- Интеграция с фронтендом и сторонними сервисами.<br>- Участие в код-ревью и тестировании.;Активная;2026-03-24 08:30:00.000;2026-03-24 08:30:00.000
7433;Backend-разработчик (Node.js);72000;135000;Ищем backend-разработчика для работы с Node.js и Express. Проекты — микросервисы и API для мобильных приложений.;- Опыт работы с Node.js, Express, MongoDB/PostgreSQL.<br>- Знание REST, GraphQL, JWT.<br>- Опыт работы с Docker, Git, CI/CD.<br>- Умение работать в команде и соблюдать стандарты кода.;"- Официальное трудоустройство.<br>- Обучение и курсы.<br>- ИИ-ассистенты для анализа кода и генерации документации;";  - Разработка и поддержка API.<br>- Интеграция с фронтендом и брокерами сообщений.<br>- Участие в тестировании и деплоях.;Активная;2026-03-24 09:45:00.000;2026-03-24 09:45:00.000
7434;Lead Backend Developer (Python);100000;180000;Ищем лид бэкенда для руководства командой из 5 разработчиков. Вы будете отвечать за архитектуру, менторство и взаимодействие с product owner.;- Опыт работы с Python, Django/Flask, PostgreSQL.<br>- Опыт управления командой от 1 года.<br>- Знание микросервисов, Docker, Kubernetes.<br>- Умение принимать архитектурные решения.;"- Удалёнка.<br>- Бонусы за KPI команды.<br>- Доступ к ИИ-инструментам для анализа кода и автоматизации ревью;";  - Архитектура бэкенд-решений.<br>- Проведение код-ревью и менторство junior-разработчиков.<br>- Координация с фронтендом и DevOps.;Активная;2026-03-24 11:00:00.000;2026-03-24 11:00:00.000
7435;Backend-разработчик (Java/Spring);80000;150000;Компания ищет backend-разработчика для работы с Java и Spring Boot. Проекты — корпоративные системы и интеграции.;- Опыт работы с Java 11+, Spring Boot, PostgreSQL.<br>- Знание REST, JPA, Hibernate.<br>- Опыт работы с Git, Maven, Docker.<br>- Умение писать тесты и работать в команде.;"- Гибридный график.<br>- Корпоративные курсы.<br>- ИИ-инструменты для анализа кода и генерации тестов;";  - Разработка и поддержка микросервисов.<br>- Интеграция с внешними API и брокерами сообщений.<br>- Участие в спринтах и ретроспективах.;Активная;2026-03-24 12:15:00.000;2026-03-24 12:15:00.000
7436;Backend-разработчик (Go);78000;145000;Ищем backend-разработчика для работы с Go и Gin. Проекты — высоконагруженные сервисы в сфере FinTech и e-commerce.;- Опыт работы с Go, Gin, PostgreSQL/MySQL.<br>- Знание REST, gRPC, Docker.<br>- Опыт работы с Git, CI/CD.<br>- Умение писать производительный и безопасный код.;"- Удалённая работа.<br>- Компенсация за обучение.<br>- ИИ-ассистенты для анализа кода и генерации документации;";  - Разработка и поддержка API.<br>- оптимизация производительности и безопасности.<br>- Участие в тестировании и деплоях.;Активная;2026-03-24 13:30:00.000;2026-03-24 13:30:00.000
7437;Lead Backend Developer (Node.js);95000;170000;Ищем лид бэкенда для руководства командой Node.js-разработчиков. Вы будете отвечать за архитектуру, менторство и взаимодействие с product owner.;- Опыт работы с Node.js, Express, MongoDB/PostgreSQL.<br>- Опыт управления командой от 1 года.<br>- Знание микросервисов, Docker, Kubernetes.<br>- Умение принимать архитектурные решения.;"- Удалёнка.<br>- Премии за KPI команды.<br>- Доступ к ИИ-инструментам для анализа кода и автоматизации ревью;";  - Архитектура Node.js-решений.<br>- Проведение код-ревью и менторство junior-разработчиков.<br>- Координация с фронтендом и DevOps.;Активная;2026-03-24 14:45:00.000;2026-03-24 14:45:00.000
7438;Backend-разработчик (Ruby on Rails);70000;130000;Компания ищет backend-разработчика для работы с Ruby on Rails. Проекты — веб-приложения в сфере EdTech и SaaS.;- Опыт работы с Ruby, Rails, PostgreSQL.<br>- Знание REST, RSpec, Git.<br>- Опыт работы с Docker, CI/CD.<br>- Умение писать чистый и тестируемый код.;"- Официальное трудоустройство.<br>- Обучение и курсы.<br>- ИИ-инструменты для анализа кода и генерации тестов;";  - Разработка и поддержка API.<br>- Интеграция с фронтендом и сторонними сервисами.<br>- Участие в тестировании и деплоях.;Активная;2026-03-24 16:00:00.000;2026-03-24 16:00:00.000
7439;Backend-разработчик (PHP/Laravel);68000;125000;Ищем backend-разработчика для работы с PHP и Laravel. Проекты — корпоративные системы и веб-платформы.;- Опыт работы с PHP, Laravel, MySQL.<br>- Знание REST, Eloquent, Git.<br>- Опыт работы с Docker, Composer.<br>- Умение работать в команде и соблюдать стандарты кода.;"- Гибридный график.<br>- Корпоративные курсы.<br>- ИИ-ассистенты для анализа кода и генерации документации;";  - Разработка и поддержка API.<br>- Интеграция с фронтендом и сторонними сервисами.<br>- Участие в тестировании и деплоях.;Активная;2026-03-24 17:15:00.000;2026-03-24 17:15:00.000
7440;Lead Backend Developer (Java);105000;190000;Ищем лид бэкенда для руководства командой Java-разработчиков. Вы будете отвечать за архитектуру, менторство и взаимодействие с product owner.;- Опыт работы с Java, Spring Boot, PostgreSQL.<br>- Опыт управления командой от 1 года.<br>- Знание микросервисов, Docker, Kubernetes.<br>- Умение принимать архитектурные решения.;"- Удалёнка.<br>- Бонусы за KPI команды.<br>- Доступ к ИИ-инструментам для анализа кода и автоматизации ревью;";  - Архитектура Java-решений.<br>- Проведение код-ревью и менторство junior-разработчиков.<br>- Координация с фронтендом и DevOps.;Активная;2026-03-24 18:30:00.000;2026-03-24 18:30:00.000
7441;Backend-разработчик (Rust);85000;160000;Компания ищет backend-разработчика для работы с Rust и Actix. Проекты — высоконагруженные сервисы в сфере FinTech и блокчейн.;- Опыт работы с Rust, Actix, PostgreSQL.<br>- Знание REST, gRPC, Docker.<br>- Опыт работы с Git, CI/CD.<br>- Умение писать производительный и безопасный код.;"- Удалённая работа.<br>- Компенсация за обучение.<br>- ИИ-инструменты для анализа кода и генерации документации;";  - Разработка и поддержка API.<br>- оптимизация производительности и безопасности.<br>- Участие в тестировании и деплоях.;Активная;2026-03-24 19:45:00.000;2026-03-24 19:45:00.000
7442;Project Manager (IT);85000;160000;Компания ищет Project Manager для управления IT-проектами в сфере FinTech. Вы будете отвечать за сроки, бюджет, риски и взаимодействие с командами.;- Опыт управления IT-проектами от 2 лет.<br>- Знание Agile/Scrum, Jira, Confluence.<br>- Умение работать с заинтересованными сторонами.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Гибкий график.<br>- Доступ к ИИ-инструментам для анализа рисков и планирования;";  - Планирование и контроль сроков проекта.<br>- Управление командой и заинтересованными сторонами.<br>- Проведение ретроспектив и улучшение процессов.;Активная;2026-03-25 08:00:00.000;2026-03-25 08:00:00.000
7443;Product Manager (SaaS);90000;170000;Ищем Product Manager для работы над SaaS-продуктом в сфере B2B. Вы будете отвечать за дорожную карту, приоритизацию и взаимодействие с командой разработки.;- Опыт работы с SaaS-продуктами от 2 лет.<br>- Знание методологий Lean, Jobs-to-be-Done.<br>- Умение работать с данными и метриками.<br>- Английский — Upper Intermediate.;"- Удалённая работа.<br>- Бонусы за KPI продукта.<br>- ИИ-ассистенты для анализа пользовательских данных и генерации гипотез;";- Формирование дорожной карты продукта.<br>- Сбор и приоритизация требований.<br>- Взаимодействие с разработкой, маркетингом и продажами.;Активная;2026-03-25 09:15:00.000;2026-03-25 09:15:00.000
7444;Scrum Master;75000;140000;Компания ищет Scrum Master для поддержки Agile-команд. Вы будете отвечать за проведение ритуалов, устранение препятствий и улучшение процессов.;- Опыт работы Scrum Master от 1 года.<br>- Сертификаты CSM, PSM приветствуются.<br>- Умение работать с командами и заинтересованными сторонами.<br>- Английский — Intermediate.;"- Гибридный график.<br>- Обучение и курсы.<br>- ИИ-инструменты для анализа эффективности команды;";- Проведение спринтов, ретроспектив, планирования.<br>- Устранение препятствий для команды.<br>- Менторство и коучинг команды.;Активная;2026-03-25 10:30:00.000;2026-03-25 10:30:00.000
7445;Business Analyst (FinTech);80000;150000;Ищем Business Analyst для работы в FinTech-компании. Вы будете анализировать бизнес-процессы, формировать требования и взаимодействовать с техническими командами.;- Опыт работы в FinTech или банковской сфере от 1 года.<br>- Знание BPMN, UML, SQL.<br>- Умение работать с заинтересованными сторонами.<br>- Английский — Intermediate.;"- Удалённая работа.<br>- Компенсация за обучение.<br>- ИИ-ассистенты для анализа данных и генерации требований;";  - Анализ бизнес-процессов и Формирование требований.<br>- Взаимодействие с разработкой и тестированием.<br>- Участие в тестировании и внедрении решений.;Активная;2026-03-25 11:45:00.000;2026-03-25 11:45:00.000
7446;Financial Consultant (Corporate);95000;180000;Компания ищет Financial Consultant для работы с корпоративными клиентами. Вы будете консультировать по вопросам финансового планирования, инвестиций и управления рисками.;- Опыт работы в финансовом консалтинге от 2 лет.<br>- Знание финансовых моделей, Excel, Power BI.<br>- Умение работать с клиентами и презентовать решения.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Бонусы за KPI.<br>- Доступ к ИИ-инструментам для анализа данных и генерации отчётов;";  - Консультирование клиентов по финансовым вопросам.<br>- Подготовка финансовых моделей и отчётов.<br>- Участие в переговорах и презентациях.;Активная;2026-03-25 13:00:00.000;2026-03-25 13:00:00.000
7447;HR Manager;70000;130000;Ищем HR Manager для управления HR-процессами в IT-компании. Вы будете отвечать за подбор, адаптацию, обучение и развитие сотрудников.;- Опыт работы HR Manager от 2 лет.<br>- Знание HR-процессов, HR-систем (1C, SAP).<br>- Умение работать с командами и заинтересованными сторонами.<br>- Английский — Intermediate.;"- Гибридный график.<br>- Обучение и курсы.<br>- ИИ-инструменты для анализа данных и генерации отчётов;";  - Управление рекрутингом и адаптацией.<br>- Организация обучения и развития.<br>- Участие в оценке эффективности HR-процессов.;Активная;2026-03-25 14:15:00.000;2026-03-25 14:15:00.000
7448;Marketing Manager (Digital);82000;155000;Компания ищет Marketing Manager для управления digital-кампаниями. Вы будете отвечать за стратегию, бюджет, аналитику и взаимодействие с агентствами.;- Опыт работы в digital-маркетинге от 2 лет.<br>- Знание Google Ads, Meta, TikTok, GA4.<br>- Умение работать с данными и метриками.<br>- Английский — Upper Intermediate.;"- Удалённая работа.<br>- Бонусы за KPI.<br>- ИИ-ассистенты для анализа данных и генерации гипотез;";  - Планирование и Управление digital-кампаниями.<br>- Анализ эффективности и оптимизация бюджета.<br>- Взаимодействие с агентствами и внутренними командами.;Активная;2026-03-25 15:30:00.000;2026-03-25 15:30:00.000
7449;Sales Manager (B2B);88000;165000;Ищем Sales Manager для работы с B2B-клиентами. Вы будете отвечать за продажи, переговоры, заключение сделок и развитие клиентской базы.;- Опыт работы в B2B-продажах от 2 лет.<br>- Знание CRM (Salesforce, HubSpot).<br>- Умение работать с возражениями и закрывать сделки.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Комиссионные за продажи.<br>- Доступ к ИИ-инструментам для анализа клиентов и генерации предложений;";  - Ведение переговоров и заключение сделок.<br>- развитие клиентской базы.<br>- Участие в презентациях и выставках.;Активная;2026-03-25 16:45:00.000;2026-03-25 16:45:00.000
7450;Operations Manager;78000;145000;Компания ищет Operations Manager для управления операционными процессами. Вы будете отвечать за эффективность, оптимизацию и взаимодействие с командами.;- Опыт работы в операционном менеджменте от 2 лет.<br>- Знание Lean, Six Sigma.<br>- Умение работать с данными и метриками.<br>- Английский — Intermediate.;"- Гибридный график.<br>- Бонусы за KPI.<br>- ИИ-инструменты для анализа данных и генерации отчётов;";  - оптимизация операционных процессов.<br>- Управление командой и заинтересованными сторонами.<br>- Участие в планировании и контроле бюджета.;Активная;2026-03-25 18:00:00.000;2026-03-25 18:00:00.000
7451;Customer Success Manager;75000;140000;Ищем Customer Success Manager для работы с ключевыми клиентами. Вы будете отвечать за удовлетворённость, удержание и рост клиентской базы.;- Опыт работы в Customer Success от 1 года.<br>- Знание CRM, аналитики клиентского опыта.<br>- Умение работать с возражениями и находить решения.<br>- Английский — Intermediate.;"- Удалённая работа.<br>- Бонусы за KPI.<br>- ИИ-ассистенты для анализа данных и генерации предложений;";  - Взаимодействие с ключевыми клиентами.<br>- Анализ удовлетворённости и предложение улучшений.<br>- Участие в презентациях и вебинарах.;Активная;2026-03-25 19:15:00.000;2026-03-25 19:15:00.000
7452;Team Lead (IT);90000;170000;Компания ищет Team Lead для управления IT-командой. Вы будете отвечать за архитектуру, менторство и взаимодействие с product owner.;- Опыт работы в IT от 3 лет, из них 1 год в управлении.<br>- Знание Agile/Scrum, Jira, Confluence.<br>- Умение работать с командой и заинтересованными сторонами.<br>- Английский — Upper Intermediate.;"- Удалёнка.<br>- Бонусы за KPI команды.<br>- Доступ к ИИ-инструментам для анализа кода и автоматизации ревью;";  - Управление командой и распределение задач.<br>- Проведение код-ревью и менторство.<br>- Координация с product owner и DevOps.;Активная;2026-03-26 08:00:00.000;2026-03-26 08:00:00.000
7453;Product Owner (SaaS);95000;180000;Ищем Product Owner для работы над SaaS-продуктом. Вы будете отвечать за дорожную карту, приоритизацию и взаимодействие с командой разработки.;- Опыт работы с SaaS-продуктами от 2 лет.<br>- Знание методологий Lean, Jobs-to-be-Done.<br>- Умение работать с данными и метриками.<br>- Английский — Upper Intermediate.;"- Удалённая работа.<br>- Бонусы за KPI продукта.<br>- ИИ-ассистенты для анализа пользовательских данных и генерации гипотез;";- Формирование дорожной карты продукта.<br>- Сбор и приоритизация требований.<br>- Взаимодействие с разработкой, маркетингом и продажами.;Активная;2026-03-26 09:15:00.000;2026-03-26 09:15:00.000
