id,resume,skills,experience_years,desired_salary,actions_history
553,"Sales Manager с опытом 4 лет в B2B. Вел переговоры, заключал сделки, развивал клиентскую базу.","Sales, CRM, Negotiation, B2B, Closing",4,120000,"[{""vacancy_id"": ""7449"", ""action"": ""просмотр"", ""time"": ""2025-04-02 14:00:00""},{""vacancy_id"": ""7450"", ""action"": ""отклик"", ""time"": ""2025-04-03 15:15:00""},{""vacancy_id"": ""7451"", ""action"": ""просмотр"", ""time"": ""2025-04-04 16:30:00""},{""vacancy_id"": ""7452"", ""action"": ""отклик"", ""time"": ""2025-04-05 17:45:00""}]"
554,"Finance Consultant с опытом 5 лет. Консультировал по финансам, инвестициям, рискам. Работал с корпоративными клиентами.","Financial Analysis, Excel, Power BI, Risk Management",5,150000,"[{""vacancy_id"": ""7446"", ""action"": ""просмотр"", ""time"": ""2025-04-02 08:00:00""},{""vacancy_id"": ""7447"", ""action"": ""отклик"", ""time"": ""2025-04-03 09:15:00""},{""vacancy_id"": ""7448"", ""action"": ""просмотр"", ""time"": ""2025-04-04 10:30:00""},{""vacancy_id"": ""7449"", ""action"": ""сохранение"", ""time"": ""2025-04-05 11:45:00""}]"
555,"Operations Manager с опытом 3 года. Управлял операционными процессами, оптимизацией, командами.","Operations, Lean, Six Sigma, Budgeting",3,110000,"[{""vacancy_id"": ""7450"", ""action"": ""просмотр"", ""time"": ""2025-04-02 16:00:00""},{""vacancy_id"": ""7451"", ""action"": ""отклик"", ""time"": ""2025-04-03 17:15:00""},{""vacancy_id"": ""7452"", ""action"": ""просмотр"", ""time"": ""2025-04-04 18:30:00""},{""vacancy_id"": ""7453"", ""action"": ""просмотр"", ""time"": ""2025-04-05 19:45:00""}]"
556,"Customer Success Manager с опытом 2 года. Работал с ключевыми клиентами, повышал удовлетворённость, удержание.","Customer Success, CRM, Communication, KPI",2,90000,"[{""vacancy_id"": ""7451"", ""action"": ""просмотр"", ""time"": ""2025-04-02 11:30:00""},{""vacancy_id"": ""7452"", ""action"": ""отклик"", ""time"": ""2025-04-03 12:45:00""},{""vacancy_id"": ""7453"", ""action"": ""просмотр"", ""time"": ""2025-04-04 14:00:00""},{""vacancy_id"": ""7454"", ""action"": ""сохранение"", ""time"": ""2025-04-05 15:15:00""}]"
557,"Lead Frontend Developer с опытом 6 лет. Управлял командой, архитектурой, менторством. Работал с React, TypeScript.","React, TypeScript, Team Leadership, Architecture",6,180000,"[{""vacancy_id"": ""7424"", ""action"": ""просмотр"", ""time"": ""2025-04-02 09:30:00""},{""vacancy_id"": ""7425"", ""action"": ""отклик"", ""time"": ""2025-04-03 10:45:00""},{""vacancy_id"": ""7426"", ""action"": ""просмотр"", ""time"": ""2025-04-04 12:00:00""},{""vacancy_id"": ""7427"", ""action"": ""отклик"", ""time"": ""2025-04-05 13:15:00""}]"
558,"Lead Backend Developer с опытом 5 лет. Управлял командой, архитектурой, микросервисами. Работал с Python, Django.","Python, Django, Microservices, Architecture",5,170000,"[{""vacancy_id"": ""7434"", ""action"": ""просмотр"", ""time"": ""2025-04-02 13:30:00""},{""vacancy_id"": ""7435"", ""action"": ""отклик"", ""time"": ""2025-04-03 14:45:00""},{""vacancy_id"": ""7436"", ""action"": ""просмотр"", ""time"": ""2025-04-04 16:00:00""},{""vacancy_id"": ""7437"", ""action"": ""отклик"", ""time"": ""2025-04-05 17:15:00""}]"
559,"Scrum Master с опытом 3 года. Проводил ритуалы, устранял препятствия, улучшал процессы. Сертификат CSM.","Scrum, Agile, Jira, Confluence, Coaching",3,100000,"[{""vacancy_id"": ""7444"", ""action"": ""просмотр"", ""time"": ""2025-04-02 15:00:00""},{""vacancy_id"": ""7445"", ""action"": ""отклик"", ""time"": ""2025-04-03 16:15:00""},{""vacancy_id"": ""7446"", ""action"": ""просмотр"", ""time"": ""2025-04-04 17:30:00""},{""vacancy_id"": ""7447"", ""action"": ""сохранение"", ""time"": ""2025-04-05 18:45:00""}]"
560,"Business Analyst с опытом 4 года. Анализировал процессы, формировал требования, работал с разработкой.","BPMN, UML, SQL, Jira, Confluence",4,95000,"[{""vacancy_id"": ""7412"", ""action"": ""просмотр"", ""time"": ""2025-04-02 08:45:00""},{""vacancy_id"": ""7413"", ""action"": ""отклик"", ""time"": ""2025-04-03 09:55:00""},{""vacancy_id"": ""7414"", ""action"": ""просмотр"", ""time"": ""2025-04-04 11:05:00""},{""vacancy_id"": ""7415"", ""action"": ""отклик"", ""time"": ""2025-04-05 12:15:00""}]"
561,"IT Director с опытом 7 лет. Управлял IT-стратегией, бюджетом, командами. Работал в FinTech и SaaS.","IT Strategy, Budgeting, Agile, DevOps",7,200000,"[{""vacancy_id"": ""7465"", ""action"": ""просмотр"", ""time"": ""2025-04-02 10:00:00""},{""vacancy_id"": ""7466"", ""action"": ""отклик"", ""time"": ""2025-04-03 11:15:00""},{""vacancy_id"": ""7467"", ""action"": ""просмотр"", ""time"": ""2025-04-04 12:30:00""},{""vacancy_id"": ""7468"", ""action"": ""отклик"", ""time"": ""2025-04-05 13:45:00""}]"
562,"Head of Marketing с опытом 6 лет. Управлял стратегией, командой, бюджетом. Работал с digital-маркетингом и аналитикой.","Marketing Strategy, Digital, Analytics, Team Leadership",6,190000,"[{""vacancy_id"": ""7466"", ""action"": ""просмотр"", ""time"": ""2025-04-02 14:00:00""},{""vacancy_id"": ""7467"", ""action"": ""отклик"", ""time"": ""2025-04-03 15:15:00""},{""vacancy_id"": ""7468"", ""action"": ""просмотр"", ""time"": ""2025-04-04 16:30:00""},{""vacancy_id"": ""7469"", ""action"": ""сохранение"", ""time"": ""2025-04-05 17:45:00""}]"
